Pagecount,INTcount,EXTcount,URLfragments,timestamp
0,23,14,18,2021-11-13T15:04:47Z
1,186,72,93,2021-12-04T04:18:13Z
2,33,6,4,2021-10-05T18:32:31Z
3,654,208,173,2021-11-28T04:18:17Z
4,186,72,93,2021-12-04T04:18:13Z
5,36,11,8,2021-11-10T08:50:11Z
6,22,8,4,2020-04-01T12:01:22Z
7,365,205,149,2021-08-15T16:46:42Z
8,35,13,12,2021-08-26T16:39:41Z
9,186,72,93,2021-12-04T04:18:13Z
10,86,41,4,2021-06-01T10:49:16Z
11,31,7,6,2020-11-27T20:09:06Z
12,199,100,20,2021-11-13T15:33:56Z
13,8,3,4,2021-11-13T15:31:05Z
14,365,205,149,2021-08-15T16:46:42Z
15,25,16,10,2021-08-15T07:55:57Z
16,19,2,2,2018-12-12T13:29:46Z
17,186,72,93,2021-12-04T04:18:13Z
18,83,25,34,2021-09-28T07:42:51Z
19,11,6,2,2021-05-13T05:44:13Z
20,8,3,2,2021-09-03T15:59:32Z
21,14,12,6,2018-12-02T08:43:09Z
22,52,14,2,
23,43,1,2,
24,23,15,18,2021-11-13T15:04:47Z
25,91,47,11,
26,91,47,11,
27,74,13,25,2021-09-13T22:50:33Z
28,80,54,7,
29,80,54,7,
30,66,9,2,2021-10-23T17:31:00Z
31,47,11,7,2021-09-25T06:19:34Z
32,654,208,173,2021-11-28T04:18:17Z
33,90,20,14,2021-09-09T10:17:27Z
34,74,13,25,2021-09-13T22:50:33Z
35,49,6,2,2021-10-01T12:16:56Z
36,232,142,79,2021-11-24T15:35:10Z
37,73,46,44,2021-08-23T16:17:40Z
38,37,9,2,2021-10-07T16:58:27Z
39,135,18,16,2021-11-10T17:46:10Z
40,35,13,12,2021-08-26T16:39:41Z
41,90,20,14,2021-09-09T10:17:27Z
42,199,100,20,2021-11-13T15:33:56Z
43,86,41,4,2021-06-01T10:49:16Z
44,23,6,2,2021-07-22T05:46:32Z
45,62,17,11,2021-08-26T07:31:02Z
46,113,44,39,2021-11-26T19:08:38Z
47,42,1,2,2021-11-28T22:44:23Z
48,37,9,2,2021-10-07T16:58:27Z
49,135,18,16,2021-11-10T17:46:10Z
50,458,64,53,2021-08-25T11:18:43Z
51,214,70,50,2021-10-29T13:17:57Z
52,698,135,187,2021-05-11T09:52:54Z
53,37,17,14,2021-01-18T10:14:00Z
54,256,52,58,2021-11-24T16:01:04Z
55,56,32,23,2021-04-30T07:26:24Z
56,19,4,4,2019-03-13T10:21:50Z
57,61,30,14,2021-09-26T09:00:00Z
58,13,5,10,2020-09-24T11:01:09Z
59,23,5,2,2021-10-16T23:55:28Z
60,36,11,10,2021-11-24T16:07:58Z
61,28,2,2,2021-11-01T17:31:57Z
62,69,21,28,2021-11-05T13:29:20Z
63,38,7,6,2021-11-18T11:25:14Z
64,121,19,19,2021-10-12T23:28:21Z
65,139,24,8,2021-11-30T22:33:34Z
66,24,20,12,2021-05-12T00:19:36Z
67,135,18,16,2021-11-10T17:46:10Z
68,135,21,17,2021-10-20T05:55:13Z
69,217,226,113,2021-09-30T04:49:51Z
70,11,1,2,2021-08-19T02:09:38Z
71,36,11,2,2020-12-11T12:22:15Z
72,13,7,4,2021-11-15T19:42:29Z
73,60,20,14,2021-11-30T07:27:56Z
74,135,21,17,2021-10-20T05:55:13Z
75,62,56,20,2020-02-04T19:41:48Z
76,16,8,8,2021-04-15T04:21:20Z
77,49,24,7,
78,49,24,7,
